alternative_id,check_id,horizon,baseline_estimate,alternative_estimate,estimate_delta,baseline_standard_error,alternative_standard_error,baseline_nobs,alternative_nobs
ra-alt-d520ffb46adc8874ef66966e28441c52,ra-check-4381c1fabc0180978aec15efc6c64e44,2,-0.02728807154893864,-0.04434571416040123,-0.017057642611462587,0.13744670035635603,0.16439873005053834,86,85
ra-alt-d520ffb46adc8874ef66966e28441c52,ra-check-4381c1fabc0180978aec15efc6c64e44,3,-0.06389949799356032,-0.0800980111988503,-0.016198513205289977,0.16012269767889292,0.17885200293079181,85,84
ra-alt-d520ffb46adc8874ef66966e28441c52,ra-check-4381c1fabc0180978aec15efc6c64e44,4,-0.0736382750717699,-0.06726702171983323,0.006371253351936668,0.20019531882191136,0.2238408571031218,84,83
ra-alt-d520ffb46adc8874ef66966e28441c52,ra-check-4381c1fabc0180978aec15efc6c64e44,5,-0.228028544839038,-0.19142951494280358,0.036599029896234425,0.2741903915745273,0.2927912683893977,83,82
ra-alt-d520ffb46adc8874ef66966e28441c52,ra-check-4381c1fabc0180978aec15efc6c64e44,6,-0.3743143784222882,-0.36616179918217484,0.008152579240113367,0.315926425274495,0.32489814491953023,82,81
ra-alt-d520ffb46adc8874ef66966e28441c52,ra-check-4381c1fabc0180978aec15efc6c64e44,7,-0.36073642672522976,-0.4278332925147217,-0.06709686578949192,0.37204592313135926,0.39628965224188695,81,80
ra-alt-d520ffb46adc8874ef66966e28441c52,ra-check-4381c1fabc0180978aec15efc6c64e44,8,-0.4728469298278788,-0.5350675500359028,-0.06222062020802399,0.45459498943419524,0.4760051404582155,80,79
ra-alt-d520ffb46adc8874ef66966e28441c52,ra-check-4381c1fabc0180978aec15efc6c64e44,9,-0.633574462499146,-0.7206109093436064,-0.08703644684446044,0.5331970962288147,0.5592244498271729,79,78
ra-alt-d520ffb46adc8874ef66966e28441c52,ra-check-4381c1fabc0180978aec15efc6c64e44,10,-0.9177320970198553,-0.9828225630788034,-0.0650904660589482,0.5288314146495513,0.5505820330182046,78,77
ra-alt-d520ffb46adc8874ef66966e28441c52,ra-check-4381c1fabc0180978aec15efc6c64e44,11,-1.0268993286290757,-1.1325311058100094,-0.10563177718093364,0.5877216549578701,0.5994593591066443,77,76
ra-alt-d520ffb46adc8874ef66966e28441c52,ra-check-4381c1fabc0180978aec15efc6c64e44,12,-1.2707114677946487,-1.4210534671076762,-0.1503419993130275,0.6357759137437142,0.6613640291333701,76,75
ra-alt-d520ffb46adc8874ef66966e28441c52,ra-check-4381c1fabc0180978aec15efc6c64e44,13,-1.5787427864398458,-1.691744371395882,-0.11300158495603618,0.8127718520565138,0.8523647285700326,75,74
ra-alt-d520ffb46adc8874ef66966e28441c52,ra-check-4381c1fabc0180978aec15efc6c64e44,14,-1.7528880904816537,-1.818634396505523,-0.06574630602386922,0.9074788778252456,1.0128755297576493,74,73
ra-alt-d520ffb46adc8874ef66966e28441c52,ra-check-4381c1fabc0180978aec15efc6c64e44,15,-1.9211579401840044,-2.0267836704012154,-0.105625730217211,0.941722407804948,1.0245089727754118,73,72
ra-alt-d520ffb46adc8874ef66966e28441c52,ra-check-4381c1fabc0180978aec15efc6c64e44,16,-1.9506905899743934,-2.0446228782240192,-0.09393228824962585,0.9374466533394901,1.0003053621371283,72,71
ra-alt-d520ffb46adc8874ef66966e28441c52,ra-check-4381c1fabc0180978aec15efc6c64e44,17,-2.019083762751703,-2.0681468769206153,-0.0490631141689124,0.9307194048356139,0.990917391630883,71,70
ra-alt-43e0051a2f5b919d8317bfb8649c4e88,ra-check-077835ba64641086db09119bd2ac2655,0,0.03926033726243894,0.03926033726243894,0.0,0.056984108791936015,0.06359825716647406,88,88
